FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Briquets;8/9/2025;6;20,0%;10,20 €;8,51 €
Chewing Gum;8/9/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;8/9/2025;6;20,0%;28,80 €;24,00 €
Confiserie 20%;8/9/2025;5;20,0%;9,00 €;7,50 €
Confiserie 5,5%;8/9/2025;5;5,5%;9,80 €;9,31 €
Jeux instantanés;8/9/2025;429;0,0%;2 214,00 €;2 214,00 €
Loto;8/9/2025;77;0,0%;2 179,80 €;2 179,80 €
MONETIQUE 0 %;8/9/2025;1;0,0%;20,00 €;20,00 €
Papier tubes et filtres;8/9/2025;48;20,0%;80,20 €;66,87 €
Tabac;8/9/2025;364;0,0%;5 080,35 €;5 080,35 €
TELEPHONIE 20.00 %;8/9/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;8/9/2025;2;0,0%;33,36 €;33,36 €
 paiement proximite;9/9/2025;3;0,0%;164,71 €;164,71 €
Accessoires fumeurs;9/9/2025;19;20,0%;50,40 €;42,01 €
Articles Divers Logista 20%;9/9/2025;4;20,0%;34,00 €;28,33 €
Bar 10%;9/9/2025;142;10,0%;221,40 €;201,12 €
Bar 20%;9/9/2025;163;20,0%;402,70 €;335,62 €
Boissons à emporter;9/9/2025;3;5,5%;6,50 €;6,16 €
Briquets;9/9/2025;2;20,0%;3,70 €;3,09 €
Chewing Gum;9/9/2025;3;20,0%;5,80 €;4,83 €
Cigarettes Electroniques;9/9/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;9/9/2025;3;20,0%;5,40 €;4,50 €
Confiserie 5,5%;9/9/2025;2;5,5%;0,80 €;0,76 €
Jeux instantanés;9/9/2025;430;0,0%;2 044,00 €;2 044,00 €
Loto;9/9/2025;101;0,0%;1 325,60 €;1 325,60 €
MONETIQUE 0 %;9/9/2025;2;0,0%;60,00 €;60,00 €
Papier tubes et filtres;9/9/2025;48;20,0%;100,60 €;83,85 €
Tabac;9/9/2025;425;0,0%;5 763,55 €;5 763,55 €
Timbres poste;9/9/2025;10;0,0%;59,77 €;59,77 €
Accessoires fumeurs;10/9/2025;8;20,0%;23,80 €;19,83 €
Articles Divers Logista 20%;10/9/2025;13;20,0%;120,00 €;99,99 €
Bar 10%;10/9/2025;139;10,0%;212,00 €;192,58 €
Bar 20%;10/9/2025;164;20,0%;577,20 €;481,07 €
Boissons à emporter;10/9/2025;9;5,5%;21,50 €;20,38 €
Briquets;10/9/2025;1;20,0%;1,70 €;1,42 €
Cigarettes Electroniques;10/9/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;10/9/2025;2;20,0%;3,60 €;3,00 €
Confiserie 5,5%;10/9/2025;4;5,5%;6,20 €;5,89 €
Jeux instantanés;10/9/2025;438;0,0%;2 276,00 €;2 276,00 €
Loto;10/9/2025;93;0,0%;1 376,30 €;1 376,30 €
MONETIQUE 0 %;10/9/2025;2;0,0%;70,00 €;70,00 €
Papier tubes et filtres;10/9/2025;22;20,0%;33,60 €;28,04 €
Tabac;10/9/2025;337;0,0%;4 498,15 €;4 498,15 €
TELEPHONIE 20.00 %;10/9/2025;2;20,0%;24,99 €;20,83 €
Timbres poste;10/9/2025;3;0,0%;19,46 €;19,46 €
 paiement proximite;11/9/2025;1;0,0%;45,00 €;45,00 €
Accessoires fumeurs;11/9/2025;9;20,0%;22,70 €;18,90 €
Articles Divers Logista 20%;11/9/2025;12;20,0%;102,00 €;84,99 €
Bar 10%;11/9/2025;165;10,0%;245,90 €;223,34 €
Bar 20%;11/9/2025;192;20,0%;550,40 €;458,76 €
Boissons à emporter;11/9/2025;5;5,5%;12,50 €;11,85 €
Briquets;11/9/2025;5;20,0%;9,10 €;7,60 €
Chewing Gum;11/9/2025;2;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;11/9/2025;3;20,0%;14,40 €;12,00 €
Confiserie 20%;11/9/2025;2;20,0%;3,60 €;3,00 €
Confiserie 5,5%;11/9/2025;2;5,5%;4,00 €;3,80 €
Jeux instantanés;11/9/2025;268;0,0%;1 448,00 €;1 448,00 €
Loto;11/9/2025;85;0,0%;1 081,90 €;1 081,90 €
Papier tubes et filtres;11/9/2025;37;20,0%;89,10 €;74,27 €
Tabac;11/9/2025;323;0,0%;4 431,50 €;4 431,50 €
TELEPHONIE 20.00 %;11/9/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;11/9/2025;6;0,0%;8,34 €;8,34 €
Accessoires fumeurs;12/9/2025;7;20,0%;15,20 €;12,67 €
Articles Divers Logista 20%;12/9/2025;6;20,0%;54,00 €;45,00 €
Bar 10%;12/9/2025;161;10,0%;243,50 €;221,21 €
Bar 20%;12/9/2025;129;20,0%;409,50 €;341,27 €
Boissons à emporter;12/9/2025;10;5,5%;25,00 €;23,70 €
Briquets;12/9/2025;7;20,0%;12,20 €;10,18 €
Chewing Gum;12/9/2025;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;12/9/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;12/9/2025;3;20,0%;5,40 €;4,50 €
Confiserie 5,5%;12/9/2025;2;5,5%;2,40 €;2,28 €
Jeux instantanés;12/9/2025;402;0,0%;1 921,00 €;1 921,00 €
Loto;12/9/2025;108;0,0%;1 358,90 €;1 358,90 €
MONETIQUE 0 %;12/9/2025;9;0,0%;581,00 €;581,00 €
Papier tubes et filtres;12/9/2025;49;20,0%;84,60 €;70,55 €
Tabac;12/9/2025;429;0,0%;5 858,40 €;5 858,40 €
Timbres poste;12/9/2025;4;0,0%;5,56 €;5,56 €
Accessoires fumeurs;13/9/2025;10;20,0%;23,70 €;19,76 €
Articles Divers Logista 20%;13/9/2025;20;20,0%;84,90 €;70,74 €
Bar 10%;13/9/2025;149;10,0%;239,10 €;217,22 €
Bar 20%;13/9/2025;102;20,0%;372,10 €;310,11 €
Boissons à emporter;13/9/2025;2;5,5%;5,00 €;4,74 €
Briquets;13/9/2025;6;20,0%;10,80 €;9,02 €
Chewing Gum;13/9/2025;7;20,0%;15,00 €;12,50 €
Cigarettes Electroniques;13/9/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;13/9/2025;2;20,0%;3,60 €;3,00 €
Confiserie 5,5%;13/9/2025;3;5,5%;4,80 €;4,56 €
Jeux instantanés;13/9/2025;260;0,0%;1 122,00 €;1 122,00 €
Loto;13/9/2025;76;0,0%;736,80 €;736,80 €
MONETIQUE 0 %;13/9/2025;3;0,0%;65,00 €;65,00 €
Papier tubes et filtres;13/9/2025;47;20,0%;84,60 €;70,53 €
Tabac;13/9/2025;428;0,0%;5 696,20 €;5 696,20 €
TELEPHONIE 20.00 %;13/9/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;13/9/2025;1;0,0%;16,68 €;16,68 €
 paiement proximite;14/9/2025;2;0,0%;224,00 €;224,00 €
Accessoires fumeurs;14/9/2025;8;20,0%;21,90 €;18,26 €
Articles Divers Logista 20%;14/9/2025;3;20,0%;29,00 €;24,16 €
Bar 10%;14/9/2025;138;10,0%;230,90 €;209,84 €
Bar 20%;14/9/2025;99;20,0%;379,00 €;315,86 €
Boissons à emporter;14/9/2025;4;5,5%;10,00 €;9,48 €
Briquets;14/9/2025;2;20,0%;3,70 €;3,09 €
Chewing Gum;14/9/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;14/9/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;14/9/2025;3;20,0%;4,90 €;4,08 €
Jeux instantanés;14/9/2025;300;0,0%;1 439,00 €;1 439,00 €
Loto;14/9/2025;67;0,0%;1 790,00 €;1 790,00 €
MONETIQUE 0 %;14/9/2025;5;0,0%;374,00 €;374,00 €
Papier tubes et filtres;14/9/2025;27;20,0%;54,80 €;45,70 €
Tabac;14/9/2025;258;0,0%;3 453,55 €;3 453,55 €
 paiement proximite;15/9/2025;1;0,0%;71,44 €;71,44 €
Accessoires fumeurs;15/9/2025;14;20,0%;32,40 €;27,00 €
Articles Divers Logista 20%;15/9/2025;8;20,0%;72,00 €;59,99 €
Bar 10%;15/9/2025;129;10,0%;195,00 €;177,17 €
Bar 20%;15/9/2025;178;20,0%;422,10 €;351,72 €
Boissons à emporter;15/9/2025;13;5,5%;27,50 €;26,07 €
Briquets;15/9/2025;5;20,0%;8,80 €;7,35 €
Chewing Gum;15/9/2025;8;20,0%;13,30 €;11,08 €
Confiserie 20%;15/9/2025;2;20,0%;3,60 €;3,00 €
Confiserie 5,5%;15/9/2025;2;5,5%;2,80 €;2,66 €
Jeux instantanés;15/9/2025;253;0,0%;1 111,00 €;1 111,00 €
Loto;15/9/2025;70;0,0%;928,30 €;928,30 €
MONETIQUE 0 %;15/9/2025;1;0,0%;70,00 €;70,00 €
Papier tubes et filtres;15/9/2025;42;20,0%;75,60 €;63,02 €
Tabac;15/9/2025;421;0,0%;5 654,40 €;5 654,40 €
 paiement proximite;16/9/2025;1;0,0%;45,00 €;45,00 €
Accessoires fumeurs;16/9/2025;9;20,0%;22,60 €;18,85 €
Articles Divers Logista 20%;16/9/2025;15;20,0%;119,09 €;99,25 €
Bar 10%;16/9/2025;95;10,0%;148,00 €;134,45 €
Bar 20%;16/9/2025;147;20,0%;356,70 €;297,26 €
Boissons à emporter;16/9/2025;5;5,5%;11,50 €;10,90 €
Briquets;16/9/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;16/9/2025;2;20,0%;5,50 €;4,58 €
Confiserie 20%;16/9/2025;1;20,0%;1,80 €;1,50 €
Confiserie 5,5%;16/9/2025;2;5,5%;2,40 €;2,28 €
E-BUSINESS 0 %;16/9/2025;1;0,0%;20,00 €;20,00 €
Jeux instantanés;16/9/2025;310;0,0%;1 382,00 €;1 382,00 €
Loto;16/9/2025;99;0,0%;990,50 €;990,50 €
MONETIQUE 0 %;16/9/2025;3;0,0%;334,00 €;334,00 €
Papier tubes et filtres;16/9/2025;43;20,0%;71,00 €;59,20 €
Tabac;16/9/2025;339;0,0%;4 557,95 €;4 557,95 €
Timbres poste;16/9/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;17/9/2025;11;20,0%;29,60 €;24,68 €
Articles Divers Logista 20%;17/9/2025;8;20,0%;72,00 €;60,00 €
Bar 10%;17/9/2025;112;10,0%;180,30 €;163,80 €
Bar 20%;17/9/2025;178;20,0%;432,90 €;360,79 €
Boissons à emporter;17/9/2025;2;5,5%;5,00 €;4,74 €
Briquets;17/9/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;17/9/2025;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;17/9/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;17/9/2025;5;20,0%;9,00 €;7,50 €
Confiserie 5,5%;17/9/2025;4;5,5%;5,50 €;5,22 €
Jeux instantanés;17/9/2025;397;0,0%;2 056,00 €;2 056,00 €
Loto;17/9/2025;94;0,0%;1 284,00 €;1 284,00 €
MONETIQUE 0 %;17/9/2025;2;0,0%;20,00 €;20,00 €
Papier tubes et filtres;17/9/2025;40;20,0%;78,70 €;65,57 €
Tabac;17/9/2025;383;0,0%;5 290,90 €;5 290,90 €
Timbres poste;17/9/2025;1;0,0%;16,68 €;16,68 €
 paiement proximite;18/9/2025;1;0,0%;51,84 €;51,84 €
Accessoires fumeurs;18/9/2025;19;20,0%;48,70 €;40,57 €
Articles Divers Logista 20%;18/9/2025;7;20,0%;41,30 €;34,41 €
Bar 10%;18/9/2025;142;10,0%;226,20 €;205,52 €
Bar 20%;18/9/2025;161;20,0%;421,90 €;351,59 €
Boissons à emporter;18/9/2025;7;5,5%;16,50 €;15,64 €
Briquets;18/9/2025;2;20,0%;3,70 €;3,09 €
Chewing Gum;18/9/2025;2;20,0%;4,00 €;3,33 €
Confiserie 20%;18/9/2025;2;20,0%;3,60 €;3,00 €
Confiserie 5,5%;18/9/2025;3;5,5%;4,80 €;4,56 €
Jeux instantanés;18/9/2025;381;0,0%;1 679,00 €;1 679,00 €
Loto;18/9/2025;83;0,0%;1 088,30 €;1 088,30 €
MONETIQUE 0 %;18/9/2025;3;0,0%;105,00 €;105,00 €
Papier tubes et filtres;18/9/2025;40;20,0%;74,30 €;61,96 €
Tabac;18/9/2025;377;0,0%;5 028,50 €;5 028,50 €
TELEPHONIE 20.00 %;18/9/2025;1;20,0%;5,00 €;4,17 €
Timbres poste;18/9/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;19/9/2025;15;20,0%;40,20 €;33,48 €
Articles Divers Logista 20%;19/9/2025;23;20,0%;201,00 €;167,49 €
Bar 10%;19/9/2025;116;10,0%;189,20 €;171,86 €
Bar 20%;19/9/2025;156;20,0%;402,70 €;335,58 €
Boissons à emporter;19/9/2025;5;5,5%;12,50 €;11,85 €
Briquets;19/9/2025;5;20,0%;9,40 €;7,84 €
Chewing Gum;19/9/2025;1;20,0%;2,50 €;2,08 €
Cigarettes Electroniques;19/9/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;19/9/2025;3;20,0%;5,40 €;4,50 €
Confiserie 5,5%;19/9/2025;2;5,5%;3,40 €;3,22 €
Jeux instantanés;19/9/2025;337;0,0%;1 327,00 €;1 327,00 €
Loto;19/9/2025;120;0,0%;1 550,10 €;1 550,10 €
Papier tubes et filtres;19/9/2025;44;20,0%;79,20 €;66,03 €
Tabac;19/9/2025;409;0,0%;5 533,00 €;5 533,00 €
Timbres poste;19/9/2025;3;0,0%;34,75 €;34,75 €
 paiement proximite;20/9/2025;2;0,0%;69,00 €;69,00 €
Accessoires fumeurs;20/9/2025;6;20,0%;16,80 €;13,99 €
Articles Divers Logista 20%;20/9/2025;15;20,0%;124,90 €;104,08 €
Bar 10%;20/9/2025;174;10,0%;257,00 €;233,44 €
Bar 20%;20/9/2025;161;20,0%;418,40 €;348,66 €
Boissons à emporter;20/9/2025;4;5,5%;10,00 €;9,48 €
Briquets;20/9/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;20/9/2025;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;20/9/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;20/9/2025;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;20/9/2025;6;5,5%;9,20 €;8,72 €
Jeux instantanés;20/9/2025;572;0,0%;3 142,00 €;3 142,00 €
Loto;20/9/2025;91;0,0%;829,80 €;829,80 €
Papier tubes et filtres;20/9/2025;59;20,0%;104,90 €;87,43 €
Tabac;20/9/2025;388;0,0%;5 252,40 €;5 252,40 €
Accessoires fumeurs;21/9/2025;8;20,0%;20,20 €;16,84 €
Articles Divers Logista 20%;21/9/2025;4;20,0%;4,30 €;3,58 €
Bar 10%;21/9/2025;124;10,0%;195,50 €;177,65 €
Bar 20%;21/9/2025;153;20,0%;394,10 €;328,44 €
Boissons à emporter;21/9/2025;8;5,5%;20,00 €;18,96 €
Briquets;21/9/2025;2;20,0%;4,00 €;3,34 €
Chewing Gum;21/9/2025;7;20,0%;12,00 €;10,00 €
Confiserie 20%;21/9/2025;5;20,0%;9,00 €;7,50 €
Confiserie 5,5%;21/9/2025;3;5,5%;4,80 €;4,56 €
E-BUSINESS 0 %;21/9/2025;1;0,0%;40,00 €;40,00 €
Jeux instantanés;21/9/2025;364;0,0%;1 849,00 €;1 849,00 €
Loto;21/9/2025;89;0,0%;1 257,00 €;1 257,00 €
MONETIQUE 0 %;21/9/2025;1;0,0%;100,00 €;100,00 €
Papier tubes et filtres;21/9/2025;27;20,0%;40,30 €;33,60 €
Tabac;21/9/2025;246;0,0%;3 298,05 €;3 298,05 €
TELEPHONIE 20.00 %;21/9/2025;1;20,0%;14,99 €;12,49 €
 paiement proximite;22/9/2025;1;0,0%;35,00 €;35,00 €
Accessoires fumeurs;22/9/2025;16;20,0%;41,20 €;34,33 €
Articles Divers Logista 20%;22/9/2025;15;20,0%;129,10 €;107,58 €
Bar 10%;22/9/2025;142;10,0%;211,50 €;192,12 €
Bar 20%;22/9/2025;126;20,0%;355,60 €;296,34 €
Boissons à emporter;22/9/2025;4;5,5%;10,00 €;9,48 €
Briquets;22/9/2025;5;20,0%;9,10 €;7,60 €
Chewing Gum;22/9/2025;2;20,0%;3,00 €;2,50 €
Confiserie 20%;22/9/2025;1;20,0%;1,80 €;1,50 €
Confiserie 5,5%;22/9/2025;1;5,5%;2,00 €;1,90 €
Jeux instantanés;22/9/2025;375;0,0%;1 784,00 €;1 784,00 €
Loto;22/9/2025;96;0,0%;1 315,20 €;1 315,20 €
MONETIQUE 0 %;22/9/2025;1;0,0%;20,00 €;20,00 €
Papier tubes et filtres;22/9/2025;56;20,0%;103,70 €;86,41 €
Tabac;22/9/2025;355;0,0%;4 771,75 €;4 771,75 €
TELEPHONIE 20.00 %;22/9/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;22/9/2025;11;0,0%;15,29 €;15,29 €
Accessoires fumeurs;23/9/2025;15;20,0%;41,90 €;34,93 €
Articles Divers Logista 20%;23/9/2025;6;20,0%;47,00 €;39,17 €
Bar 10%;23/9/2025;138;10,0%;190,40 €;172,99 €
Bar 20%;23/9/2025;101;20,0%;341,60 €;284,64 €
Boissons à emporter;23/9/2025;6;5,5%;15,00 €;14,22 €
Briquets;23/9/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;23/9/2025;1;20,0%;1,50 €;1,25 €
Chocolat 5,5%;23/9/2025;1;5,5%;2,80 €;2,65 €
Cigarettes Electroniques;23/9/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;23/9/2025;6;20,0%;10,80 €;9,00 €
Confiserie 5,5%;23/9/2025;1;5,5%;0,40 €;0,38 €
Jeux instantanés;23/9/2025;268;0,0%;1 229,00 €;1 229,00 €
Loto;23/9/2025;107;0,0%;1 415,60 €;1 415,60 €
MONETIQUE 0 %;23/9/2025;2;0,0%;500,00 €;500,00 €
Papier tubes et filtres;23/9/2025;46;20,0%;82,00 €;68,34 €
Tabac;23/9/2025;290;0,0%;4 196,80 €;4 196,80 €
Timbres poste;23/9/2025;4;0,0%;5,56 €;5,56 €
 paiement proximite;24/9/2025;1;0,0%;144,00 €;144,00 €
Accessoires fumeurs;24/9/2025;16;20,0%;40,10 €;33,39 €
Articles Divers Logista 20%;24/9/2025;7;20,0%;82,00 €;68,33 €
Bar 10%;24/9/2025;145;10,0%;214,90 €;195,22 €
Bar 20%;24/9/2025;127;20,0%;337,60 €;281,34 €
Boissons à emporter;24/9/2025;2;5,5%;5,00 €;4,74 €
Briquets;24/9/2025;4;20,0%;7,10 €;5,93 €
Confiserie 20%;24/9/2025;1;20,0%;1,80 €;1,50 €
Jeux instantanés;24/9/2025;227;0,0%;1 113,00 €;1 113,00 €
Loto;24/9/2025;103;0,0%;1 023,80 €;1 023,80 €
MONETIQUE 0 %;24/9/2025;2;0,0%;70,00 €;70,00 €
Papier tubes et filtres;24/9/2025;41;20,0%;68,20 €;56,86 €
Tabac;24/9/2025;393;0,0%;5 350,95 €;5 350,95 €
Timbres poste;24/9/2025;5;0,0%;52,82 €;52,82 €
 paiement proximite;25/9/2025;1;0,0%;45,00 €;45,00 €
Accessoires fumeurs;25/9/2025;14;20,0%;35,90 €;29,91 €
Articles Divers Logista 20%;25/9/2025;24;20,0%;202,10 €;168,42 €
Bar 10%;25/9/2025;145;10,0%;209,20 €;190,05 €
Bar 20%;25/9/2025;129;20,0%;324,70 €;270,58 €
Briquets;25/9/2025;1;20,0%;2,00 €;1,67 €
Chewing Gum;25/9/2025;3;20,0%;8,00 €;6,67 €
Confiserie 20%;25/9/2025;4;20,0%;7,20 €;6,00 €
Confiserie 5,5%;25/9/2025;2;5,5%;4,00 €;3,80 €
Jeux instantanés;25/9/2025;182;0,0%;735,00 €;735,00 €
Loto;25/9/2025;64;0,0%;904,70 €;904,70 €
Papier tubes et filtres;25/9/2025;40;20,0%;83,90 €;69,93 €
Tabac;25/9/2025;333;0,0%;4 543,05 €;4 543,05 €
Timbres poste;25/9/2025;5;0,0%;37,53 €;37,53 €
 paiement proximite;26/9/2025;2;0,0%;334,00 €;334,00 €
Accessoires fumeurs;26/9/2025;8;20,0%;16,20 €;13,49 €
Articles Divers Logista 20%;26/9/2025;10;20,0%;51,50 €;42,92 €
Bar 10%;26/9/2025;139;10,0%;213,60 €;194,06 €
Bar 20%;26/9/2025;143;20,0%;427,00 €;355,87 €
Boissons à emporter;26/9/2025;8;5,5%;20,00 €;18,96 €
Briquets;26/9/2025;7;20,0%;13,40 €;11,19 €
Chewing Gum;26/9/2025;4;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;26/9/2025;5;20,0%;24,00 €;20,00 €
Confiserie 20%;26/9/2025;4;20,0%;7,20 €;6,00 €
Confiserie 5,5%;26/9/2025;2;5,5%;3,60 €;3,41 €
Jeux instantanés;26/9/2025;237;0,0%;1 134,00 €;1 134,00 €
Loto;26/9/2025;155;0,0%;1 714,70 €;1 714,70 €
MONETIQUE 0 %;26/9/2025;1;0,0%;20,00 €;20,00 €
Papier tubes et filtres;26/9/2025;46;20,0%;79,40 €;66,19 €
Tabac;26/9/2025;368;0,0%;5 030,55 €;5 030,55 €
Timbres poste;26/9/2025;6;0,0%;54,21 €;54,21 €
Accessoires fumeurs;27/9/2025;17;20,0%;41,90 €;34,93 €
Articles Divers Logista 20%;27/9/2025;15;20,0%;99,80 €;83,16 €
Bar 10%;27/9/2025;165;10,0%;245,40 €;222,93 €
Bar 20%;27/9/2025;173;20,0%;432,20 €;360,21 €
Boissons à emporter;27/9/2025;7;5,5%;17,50 €;16,59 €
Briquets;27/9/2025;8;20,0%;15,70 €;13,11 €
Chewing Gum;27/9/2025;2;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;27/9/2025;8;20,0%;38,40 €;32,00 €
Confiserie 20%;27/9/2025;8;20,0%;14,40 €;12,00 €
Confiserie 5,5%;27/9/2025;3;5,5%;6,50 €;6,16 €
Jeux instantanés;27/9/2025;369;0,0%;2 058,00 €;2 058,00 €
Loto;27/9/2025;74;0,0%;826,30 €;826,30 €
MONETIQUE 0 %;27/9/2025;3;0,0%;323,00 €;323,00 €
Papier tubes et filtres;27/9/2025;47;20,0%;89,10 €;74,25 €
Tabac;27/9/2025;344;0,0%;4 641,85 €;4 641,85 €
TELEPHONIE 20.00 %;27/9/2025;3;20,0%;34,99 €;29,17 €
Timbres poste;27/9/2025;2;0,0%;18,07 €;18,07 €
Accessoires fumeurs;28/9/2025;4;20,0%;10,30 €;8,58 €
Articles Divers Logista 20%;28/9/2025;3;20,0%;17,10 €;14,25 €
Bar 10%;28/9/2025;149;10,0%;246,50 €;223,95 €
Bar 20%;28/9/2025;146;20,0%;405,10 €;337,58 €
Boissons à emporter;28/9/2025;15;5,5%;30,50 €;28,91 €
Briquets;28/9/2025;1;20,0%;1,70 €;1,42 €
Cigarettes Electroniques;28/9/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;28/9/2025;3;20,0%;5,40 €;4,50 €
Confiserie 5,5%;28/9/2025;11;5,5%;16,40 €;15,57 €
Jeux instantanés;28/9/2025;264;0,0%;1 108,00 €;1 108,00 €
Loto;28/9/2025;80;0,0%;1 294,40 €;1 294,40 €
MONETIQUE 0 %;28/9/2025;8;0,0%;308,00 €;308,00 €
Papier tubes et filtres;28/9/2025;24;20,0%;40,70 €;33,94 €
Tabac;28/9/2025;241;0,0%;3 375,20 €;3 375,20 €
Timbres poste;28/9/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;29/9/2025;12;20,0%;32,00 €;26,67 €
Articles Divers Logista 20%;29/9/2025;8;20,0%;72,00 €;60,00 €
Bar 10%;29/9/2025;179;10,0%;293,50 €;266,60 €
Bar 20%;29/9/2025;151;20,0%;404,20 €;336,83 €
Boissons à emporter;29/9/2025;4;5,5%;10,00 €;9,48 €
Briquets;29/9/2025;5;20,0%;9,10 €;7,60 €
Chewing Gum;29/9/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;29/9/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;29/9/2025;1;20,0%;1,80 €;1,50 €
Confiserie 5,5%;29/9/2025;1;5,5%;0,40 €;0,38 €
Jeux instantanés;29/9/2025;290;0,0%;1 116,00 €;1 116,00 €
Loto;29/9/2025;60;0,0%;546,50 €;546,50 €
MONETIQUE 0 %;29/9/2025;4;0,0%;190,00 €;190,00 €
Papier tubes et filtres;29/9/2025;44;20,0%;77,00 €;64,20 €
Tabac;29/9/2025;351;0,0%;4 684,80 €;4 684,80 €
TELEPHONIE 20.00 %;29/9/2025;1;20,0%;10,00 €;8,33 €
Timbres poste;29/9/2025;3;0,0%;4,17 €;4,17 €
 paiement proximite;30/9/2025;1;0,0%;169,00 €;169,00 €
Accessoires fumeurs;30/9/2025;5;20,0%;12,80 €;10,67 €
Articles Divers Logista 20%;30/9/2025;8;20,0%;56,00 €;46,66 €
Bar 10%;30/9/2025;155;10,0%;221,30 €;201,04 €
Bar 20%;30/9/2025;132;20,0%;371,10 €;309,25 €
Boissons à emporter;30/9/2025;3;5,5%;7,50 €;7,11 €
Briquets;30/9/2025;6;20,0%;11,10 €;9,27 €
Chewing Gum;30/9/2025;3;20,0%;4,50 €;3,75 €
Confiserie 20%;30/9/2025;4;20,0%;7,20 €;6,00 €
Confiserie 5,5%;30/9/2025;2;5,5%;3,80 €;3,61 €
Jeux instantanés;30/9/2025;250;0,0%;1 021,00 €;1 021,00 €
Loto;30/9/2025;67;0,0%;855,10 €;855,10 €
MONETIQUE 0 %;30/9/2025;4;0,0%;105,00 €;105,00 €
Papier tubes et filtres;30/9/2025;48;20,0%;82,60 €;68,84 €
Tabac;30/9/2025;328;0,0%;4 325,40 €;4 325,40 €
TELEPHONIE 20.00 %;30/9/2025;1;20,0%;5,00 €;4,17 €
Timbres poste;30/9/2025;4;0,0%;36,14 €;36,14 €
Accessoires fumeurs;1/10/2025;15;20,0%;35,50 €;29,59 €
Articles Divers Logista 20%;1/10/2025;9;20,0%;50,10 €;41,75 €
Bar 10%;1/10/2025;174;10,0%;258,30 €;234,64 €
Bar 20%;1/10/2025;146;20,0%;396,60 €;330,54 €
Boissons à emporter;1/10/2025;7;5,5%;17,50 €;16,59 €
Briquets;1/10/2025;5;20,0%;9,40 €;7,85 €
Chewing Gum;1/10/2025;6;20,0%;10,10 €;8,42 €
Cigarettes Electroniques;1/10/2025;3;20,0%;14,40 €;12,00 €
Confiserie 20%;1/10/2025;4;20,0%;7,20 €;6,00 €
Confiserie 5,5%;1/10/2025;4;5,5%;5,60 €;5,31 €
Jeux instantanés;1/10/2025;304;0,0%;1 197,00 €;1 197,00 €
Loto;1/10/2025;84;0,0%;822,90 €;822,90 €
MONETIQUE 0 %;1/10/2025;4;0,0%;140,00 €;140,00 €
Papier tubes et filtres;1/10/2025;39;20,0%;70,80 €;59,02 €
Tabac;1/10/2025;391;0,0%;5 425,05 €;5 425,05 €
Timbres poste;1/10/2025;6;0,0%;69,50 €;69,50 €
Accessoires fumeurs;2/10/2025;10;20,0%;21,90 €;18,25 €
Articles Divers Logista 20%;2/10/2025;16;20,0%;110,40 €;92,00 €
Articles Divers Logista 5,5%;2/10/2025;1;5,5%;1,00 €;0,95 €
Bar 10%;2/10/2025;175;10,0%;267,40 €;242,90 €
Bar 20%;2/10/2025;159;20,0%;445,30 €;371,04 €
Boissons à emporter;2/10/2025;12;5,5%;27,00 €;25,59 €
Briquets;2/10/2025;7;20,0%;13,10 €;10,93 €
Chewing Gum;2/10/2025;3;20,0%;6,00 €;5,00 €
Chocolat 5,5%;2/10/2025;1;5,5%;2,80 €;2,65 €
Confiserie 20%;2/10/2025;4;20,0%;7,20 €;6,00 €
Confiserie 5,5%;2/10/2025;2;5,5%;3,20 €;3,03 €
